Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Conservation,Invasive
https://id.biodiversity.org.au/node/apni/2890667,Alternanthera philoxeroides,(Mart.) Griseb.,species,Plantae,Charophyta,Equisetopsida,Caryophyllales,Amaranthaceae,Alternanthera,Alligator Weed,,Non-native species | Weeds of National Significance (WoNS) as at Feb. 2013 | Weeds listing  Queensland Government | Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2899470,Sporobolus pyramidalis,P.Beauv.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Sporobolus,Giant Ratstail Grass,,Non-native species | Weeds listing  Queensland Government | National Weeds Lists
https://id.biodiversity.org.au/node/apni/2899127,Eucalyptus pilularis,Sm.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Blackbutt,,
https://id.biodiversity.org.au/node/apni/2899524,Alphitonia excelsa,(A.Cunn. ex Fenzl) Benth.,species,Plantae,Charophyta,Equisetopsida,Rosales,Rhamnaceae,Alphitonia,Coopers Wood,Western Australia : Conservation status,
https://id.biodiversity.org.au/node/apni/2908951,Lophostemon confertus,(R.Br.) Peter G.Wilson & J.T.Waterh.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Lophostemon,Pink Box,,
https://id.biodiversity.org.au/node/apni/2914136,Eucalyptus racemosa,Cav.,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Scribbly Gum,,
https://id.biodiversity.org.au/node/apni/8008245,Lantana camara,L.,species,Plantae,Charophyta,Equisetopsida,Lamiales,Verbenaceae,Lantana,Common Lantana,,Non-native species | Weeds of National Significance (WoNS) as at Feb. 2013 | WA State Notifiable Pests | Weeds listing  Queensland Government | Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/7774102,Setaria sphacelata,(Schumach.) Stapf & C.E.Hubb.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Setaria,South African Pigeon Grass,,Non-native species
https://id.biodiversity.org.au/node/apni/2915125,Corymbia intermedia,(R.T.Baker) K.D.Hill & L.A.S.Johnson,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Corymbia,Pink Bloodwood,,
https://id.biodiversity.org.au/node/apni/2895205,Lomandra longifolia,Labill.,species,Plantae,Charophyta,Equisetopsida,Asparagales,Asparagaceae,Lomandra,Spiny-headed Mat-rush,,
https://id.biodiversity.org.au/taxon/apni/51291519,Themeda triandra,Forssk.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Themeda,Kangaroo Grass,,
https://id.biodiversity.org.au/node/apni/2887514,Melaleuca quinquenervia,(Cav.) S.T.Blake,species,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Melaleuca,Paperbark,,Global Invasive Species Information Network (GISIN)
