"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Conservation","Invasive"
"https://id.biodiversity.org.au/node/apni/2895205","Lomandra longifolia","Labill.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Lomandra","Spiny-headed Mat-rush","42021","",""
"https://id.biodiversity.org.au/node/apni/2916956","Microlaena stipoides","(Labill.) R.Br.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Microlaena","Rice Grass","39538","",""
"https://id.biodiversity.org.au/taxon/apni/51291519","Themeda triandra","Forssk.","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Themeda","Kangaroo Grass","33457","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/8008245","Lantana camara","L.","species","Plantae","Charophyta","Equisetopsida","Lamiales","Verbenaceae","Lantana","Common Lantana","33210","","Weeds of National Significance (WoNS) as at Feb. 2013 | WA State Notifiable Pests"
"https://id.biodiversity.org.au/node/apni/2907368","Hypochaeris radicata","L.","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Hypochaeris","Dandelion","31419","",""
"https://id.biodiversity.org.au/node/apni/2886431","Entolasia stricta","(R.Br.) Hughes","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Entolasia","Wiry Panic","30352","",""
"https://id.biodiversity.org.au/node/apni/2886410","Dichondra repens","J.R.Forst. & G.Forst.","species","Plantae","Charophyta","Equisetopsida","Solanales","Convolvulaceae","Dichondra","Creeping Dichondra","30089","",""
"https://id.biodiversity.org.au/node/apni/2892346","Cheilanthes sieberi","Kunze","species","Plantae","Charophyta","Equisetopsida",,"Pteridaceae","Cheilanthes","Mulga Fern","29923","",""
"https://id.biodiversity.org.au/taxon/apni/51249803","Pteridium esculentum","(G.Forst.) Cockayne","species","Plantae","Charophyta","Equisetopsida","Polypodiales","Dennstaedtiaceae","Pteridium","Manehu","29250","",""
"https://id.biodiversity.org.au/taxon/apni/51300057","Dianella caerulea","Sims","species","Plantae","Charophyta","Equisetopsida","Asparagales","Hemerocallidaceae","Dianella","Blue Flax-lily","27803","",""
"https://id.biodiversity.org.au/node/apni/2888627","Lomandra filiformis","(Thunb.) Britten","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Lomandra","Wattle Mat-rush","27698","",""
"https://id.biodiversity.org.au/node/apni/2904150","Cryptostegia grandiflora","R.Br.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Apocynaceae","Cryptostegia","Rubbervine","27183","","Weeds of National Significance (WoNS) as at Feb. 2013"
"https://id.biodiversity.org.au/node/apni/2892583","Glycine clandestina","J.C.Wendl.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Glycine","Twining Glycine","26279","Queensland : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2887715","Austrostipa scabra","(Lindl.) S.W.L.Jacobs & J.Everett","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Austrostipa","Needle Grass","25651","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2889372","Lomandra multiflora","(R.Br.) Britten","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Lomandra","Many-flowered Mat-rush","24977","",""
"https://id.biodiversity.org.au/node/apni/2894269","Oxalis perennans","Haw.","species","Plantae","Charophyta","Equisetopsida","Oxalidales","Oxalidaceae","Oxalis",,"23934","",""
